node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
version:BasicBank.commissionCollector_3,VersionedState,commissionCollector_3,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""commissionCollector_3"", ""base_state_var"": ""commissionCollector"", ""ssa_stmt_index"": 2, ""evidence_ref"": ""raw_ssa:BasicBank.withdraw.2""}"
version:BasicBank.userFunds_5,VersionedState,userFunds_5,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userFunds_5"", ""base_state_var"": ""userFunds"", ""ssa_stmt_index"": 2, ""evidence_ref"": ""raw_ssa:BasicBank.withdraw.2""}"
version:BasicBank.userFunds_6,VersionedState,userFunds_6,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userFunds_6"", ""base_state_var"": ""userFunds"", ""ssa_stmt_index"": 3, ""evidence_ref"": ""raw_ssa:BasicBank.withdraw.3""}"
commit:BasicBank.withdraw.3,CommitPoint,commit_3,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 3, ""base_state_var"": ""userFunds"", ""pre_version"": ""userFunds_5"", ""post_version"": ""userFunds_6"", ""evidence_ref"": ""raw_ssa:BasicBank.withdraw.3""}"
commit:BasicBank.withdraw.4,CommitPoint,commit_4,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 4, ""base_state_var"": ""userFunds"", ""pre_version"": ""userFunds_6"", ""post_version"": ""userFunds_7"", ""evidence_ref"": ""raw_ssa:BasicBank.withdraw.4""}"
cfgentry:BasicBank.BasicBank.constructor,CFGEntry,constructor(address),BasicBank.sol,BasicBank,constructor,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:BasicBank.constructor"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-constructor(address).dot"", ""actual_contract_name"": ""BasicBank""}"
cfgexit:BasicBank.BasicBank.constructor,CFGExit,constructor(address),BasicBank.sol,BasicBank,constructor,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:BasicBank.constructor"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-constructor(address).dot"", ""actual_contract_name"": ""BasicBank""}"
cfgnode:BasicBank.BasicBank.constructor.1,CFGNode,EXPRESSION:,BasicBank.sol,BasicBank,constructor,,,"{""_layers"": [""stage4_control""], ""dot_node_id"": ""1"", ""dot_label"": ""Node Type: EXPRESSION 1\n\nEXPRESSION:\ncommissionCollector = _commissionCollector\n\nIRs:\ncommissionCollector(address) := _commissionCollector(address)"", ""dot_attrs"": {""label"": ""Node Type: EXPRESSION 1\n\nEXPRESSION:\ncommissionCollector = _commissionCollector\n\nIRs:\ncommissionCollector(address) := _commissionCollector(address)""}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-constructor(address).dot"", ""actual_contract_name"": ""BasicBank""}"
cfgentry:BasicBank.BasicBank.deposit,CFGEntry,deposit(),BasicBank.sol,BasicBank,deposit,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:BasicBank.deposit"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-deposit().dot"", ""actual_contract_name"": ""BasicBank""}"
cfgexit:BasicBank.BasicBank.deposit,CFGExit,deposit(),BasicBank.sol,BasicBank,deposit,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:BasicBank.deposit"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-deposit().dot"", ""actual_contract_name"": ""BasicBank""}"
cfgentry:BasicBank.BasicBank.getBalance,CFGEntry,getBalance(address),BasicBank.sol,BasicBank,getBalance,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:BasicBank.getBalance"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-getBalance(address).dot"", ""actual_contract_name"": ""BasicBank""}"
cfgexit:BasicBank.BasicBank.getBalance,CFGExit,getBalance(address),BasicBank.sol,BasicBank,getBalance,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:BasicBank.getBalance"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-getBalance(address).dot"", ""actual_contract_name"": ""BasicBank""}"
functionref:BasicBank.BasicBank.slitherConstructorVariables,FunctionRef,slitherConstructorVariables(),BasicBank.sol,BasicBank,slitherConstructorVariables,,,"{""_layers"": [""stage4_control""], ""kind"": ""declared_function_from_cfg"", ""actual_contract_name"": ""BasicBank""}"
cfgentry:BasicBank.BasicBank.slitherConstructorVariables,CFGEntry,slitherConstructorVariables(),BasicBank.sol,BasicBank,slitherConstructorVariables,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""functionref:BasicBank.BasicBank.slitherConstructorVariables"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-slitherConstructorVariables().dot"", ""actual_contract_name"": ""BasicBank""}"
cfgexit:BasicBank.BasicBank.slitherConstructorVariables,CFGExit,slitherConstructorVariables(),BasicBank.sol,BasicBank,slitherConstructorVariables,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""functionref:BasicBank.BasicBank.slitherConstructorVariables"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-slitherConstructorVariables().dot"", ""actual_contract_name"": ""BasicBank""}"
cfgentry:BasicBank.BasicBank.withdraw,CFGEntry,withdraw(uint256),BasicBank.sol,BasicBank,withdraw,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:BasicBank.withdraw"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-withdraw(uint256).dot"", ""actual_contract_name"": ""BasicBank""}"
cfgexit:BasicBank.BasicBank.withdraw,CFGExit,withdraw(uint256),BasicBank.sol,BasicBank,withdraw,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:BasicBank.withdraw"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-withdraw(uint256).dot"", ""actual_contract_name"": ""BasicBank""}"
cfgnode:BasicBank.BasicBank.withdraw.1,CFGNode,EXPRESSION:,BasicBank.sol,BasicBank,withdraw,,,"{""_layers"": [""stage4_control""], ""dot_node_id"": ""1"", ""dot_label"": ""Node Type: EXPRESSION 1\n\nEXPRESSION:\nrequire(bool)(getBalance(msg.sender) >= _amount)\n\nIRs:\nTMP_0(uint256) = INTERNAL_CALL, BasicBank.getBalance(address)(msg.sender)\nTMP_1(bool) = TMP_0 >= _amount\nTMP_2(None) = SOLIDITY_CALL require(bool)(TMP_1)"", ""dot_attrs"": {""label"": ""Node Type: EXPRESSION 1\n\nEXPRESSION:\nrequire(bool)(getBalance(msg.sender) >= _amount)\n\nIRs:\nTMP_0(uint256) = INTERNAL_CALL, BasicBank.getBalance(address)(msg.sender)\nTMP_1(bool) = TMP_0 >= _amount\nTMP_2(None) = SOLIDITY_CALL require(bool)(TMP_1)""}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-withdraw(uint256).dot"", ""actual_contract_name"": ""BasicBank""}"
cfgnode:BasicBank.BasicBank.withdraw.2,CFGNode,EXPRESSION:,BasicBank.sol,BasicBank,withdraw,,,"{""_layers"": [""stage4_control""], ""dot_node_id"": ""2"", ""dot_label"": ""Node Type: EXPRESSION 2\n\nEXPRESSION:\nmsg.sender.call{value: _amount}()\n\nIRs:\nTUPLE_0(bool,bytes) = LOW_LEVEL_CALL, dest:msg.sender, function:call, arguments:[''] value:_amount "", ""dot_attrs"": {""label"": ""Node Type: EXPRESSION 2\n\nEXPRESSION:\nmsg.sender.call{value: _amount}()\n\nIRs:\nTUPLE_0(bool,bytes) = LOW_LEVEL_CALL, dest:msg.sender, function:call, arguments:[''] value:_amount ""}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-withdraw(uint256).dot"", ""actual_contract_name"": ""BasicBank""}"
builtin:require(bool),FunctionRef,require(bool),BasicBank.sol,<builtin>,require,,,"{""_layers"": [""stage4_control""], ""kind"": ""builtin""}"
externalcallsite:BasicBank.withdraw.2,ExternalCallSite,LOW_LEVEL_CALL,BasicBank.sol,BasicBank,withdraw,22,24,"{""_layers"": [""stage5_highlevel""], ""ir_stmt_index"": 2, ""call_kind"": ""LOW_LEVEL_CALL"", ""dest"": ""msg.sender"", ""target_function"": ""call"", ""original_external_call_node"": ""externalcall:BasicBank.withdraw.2""}"
criticalwrite:BasicBank.withdraw.3.userFunds,CriticalStateWrite,userFunds,BasicBank.sol,BasicBank,withdraw,25,25,"{""_layers"": [""stage5_highlevel""], ""state_var"": ""userFunds"", ""ir_stmt_index"": 3, ""original_statewrite_node"": ""statewrite:BasicBank.withdraw.3"", ""pre_version"": ""version:BasicBank.userFunds_5"", ""post_version"": ""version:BasicBank.userFunds_6"", ""commit_node"": ""commit:BasicBank.withdraw.3"", ""inferred"": false, ""assignment_node_id"": """"}"
criticalwrite:BasicBank.withdraw.4.userFunds,CriticalStateWrite,userFunds,BasicBank.sol,BasicBank,withdraw,25,28,"{""_layers"": [""stage5_highlevel""], ""state_var"": ""userFunds"", ""ir_stmt_index"": 4, ""original_statewrite_node"": ""statewrite:BasicBank.withdraw.4"", ""pre_version"": ""version:BasicBank.userFunds_6"", ""post_version"": ""version:BasicBank.userFunds_7"", ""commit_node"": ""commit:BasicBank.withdraw.4"", ""inferred"": false, ""assignment_node_id"": """"}"
stateguard:BasicBank.withdraw.require.1,StateGuard,require_guard,BasicBank.sol,BasicBank,withdraw,19,21,"{""_layers"": [""stage5_highlevel""], ""guard_kind"": ""require"", ""stmt_index"": 1, ""require_node_id"": ""require:BasicBank.withdraw.1.1""}"
callbeforeeffect:BasicBank.withdraw.2.userFunds,CallBeforeEffect,userFunds,BasicBank.sol,BasicBank,withdraw,22,24,"{""_layers"": [""stage5_highlevel""], ""state_var"": ""userFunds"", ""external_call_stmt_index"": 2, ""write_stmt_indices"": [3, 4], ""external_call_site"": ""externalcallsite:BasicBank.withdraw.2""}"
reentrancycandidate:BasicBank.withdraw.2.userFunds,ReentrancyCandidate,userFunds,BasicBank.sol,BasicBank,withdraw,22,24,"{""_layers"": [""stage5_highlevel""], ""state_var"": ""userFunds"", ""external_call_stmt_index"": 2, ""write_stmt_indices"": [3, 4], ""has_require_guard"": true, ""has_state_read_guard"": false, ""function_id"": ""function:BasicBank.withdraw""}"
